,feature,importance
0,lat,310701789.45288086
1,lon,185262386.472641
2,TMP_P0_L1_GLL0,685991514.7181253
3,SPFH_P0_2L108_GLL0,143798676.795578
4,RH_P0_L4_GLL0,91245130.34936714
5,PWAT_P0_L200_GLL0,208467387.0242386
6,UGRD_P0_L6_GLL0,140183247.95407867
7,GUST_P0_L1_GLL0,123086167.76232147
8,PRES_P0_L7_GLL0,92810811.50312805
9,CultivatedLand,47442725.757816315
10,WoodLand,58767257.70393562
11,GrassLand,47987565.03991318
12,Waters,40079896.11010361
13,UrbanRural,69394782.43650246
14,UnusedLand,27552137.59282303
15,Ocean,311776.6381454468
16,ELEVATION,115436830.17498016
17,AOD,61377864.82583809
18,month,381261852.92687607
19,year,36476386.71561813
20,weekday,49026307.84879303
